path,methods,auth_required,is_admin,imports_db,imports_redis,imports_comfyui,imports_bullmq,imports_workflow,bypasses_orchestrator,replacement_target,compat_status
/api/admin/tasks/[id]/cancel,POST,true,true,true,false,false,false,false,false,/api/v1/admin/tasks/[id]/cancel,pending
/api/admin/tasks/[id]/retry,POST,true,true,true,false,false,false,false,false,/api/v1/admin/tasks/[id]/retry,pending
/api/admin/tasks/[id],GET,true,true,true,false,false,false,false,false,/api/v1/admin/tasks/[id],pending
/api/admin/translate-settings,GET|PUT,false,false,true,false,false,false,false,false,/api/v1/admin/translate-settings,pending
/api/admin/users,GET,false,false,true,false,false,false,false,false,/api/v1/admin/users,pending
/api/admin/users/[id]/recharge,POST,false,false,true,false,false,false,false,false,/api/v1/admin/users/[id]/recharge,pending
/api/admin/workflow-templates,GET|POST,true,true,true,false,false,false,true,false,/api/v1/admin/workflow-templates,pending
/api/admin/works,GET|POST,false,false,true,false,false,false,false,false,/api/v1/admin/works,pending
/api/ai/generate,GET|POST,true,false,false,false,false,false,false,false,/api/v1/ai/generate,pending
/api/ai/generate-async,POST,true,false,true,false,false,false,false,false,/api/v1/ai/generate-async,pending
/api/ai-assistant,GET|POST,false,false,false,false,false,false,false,false,/api/v1/ai-assistant,pending
/api/auth/login,POST,false,false,true,false,false,false,false,false,/api/v1/auth/login,pending
/api/auth/logout,POST,false,false,false,false,false,false,false,false,/api/v1/auth/logout,pending
/api/auth/me,GET,false,false,true,false,false,false,false,false,/api/v1/auth/me,pending
/api/auth/register,POST,false,false,true,false,false,false,false,false,/api/v1/auth/register,pending
/api/chat,POST,true,false,false,false,false,false,false,false,/api/v1/chat,pending
/api/comfyui/call,GET|POST,false,false,false,false,false,false,false,true,/api/v1/comfyui/call,pending
/api/comfyui/execute,GET|POST,false,false,true,false,false,false,false,false,/api/v1/comfyui/execute,pending
/api/comfyui/progress,GET,false,false,false,false,false,false,false,false,/api/v1/comfyui/progress,pending
/api/comfyui/prompt,GET|POST,true,false,false,false,true,false,false,false,/api/v1/comfyui/prompt,pending
/api/comfyui,GET|POST,true,false,false,false,true,false,false,true,/api/v1/comfyui,pending
/api/comfyui/status,GET,false,false,false,false,true,false,false,false,/api/v1/comfyui/status,pending
/api/comfyui-image,GET,true,false,false,false,false,false,false,false,/api/v1/comfyui-image,pending
/api/debug-auth,GET,false,false,false,false,false,false,false,false,/api/v1/debug-auth,pending
/api/download,GET,true,false,false,false,false,false,false,false,/api/v1/download,pending
/api/favorites,GET|POST|DELETE,false,false,true,false,false,false,false,false,/api/v1/favorites,pending
/api/features,GET,false,false,true,false,false,false,false,false,/api/v1/features,pending
/api/free-creation,GET|POST,false,false,false,false,false,false,false,false,/api/v1/free-creation,pending
/api/generate-image,GET|POST,false,false,false,false,false,false,false,false,/api/v1/generate-image,pending
/api/health,GET,false,false,false,false,false,false,false,false,/api/v1/health,pending
/api/image-3d,GET|POST,false,false,false,false,false,false,false,false,/api/v1/image-3d,pending
/api/multi-image,GET|POST,false,false,false,false,false,false,false,false,/api/v1/multi-image,pending
/api/multi-view,GET|POST,false,false,false,false,false,false,false,false,/api/v1/multi-view,pending
/api/one-click-design,GET|POST,false,false,false,false,false,false,false,false,/api/v1/one-click-design,pending
/api/openclaw-chat,GET|POST,false,false,false,false,false,false,false,false,/api/v1/openclaw-chat,pending
/api/operation-logs,GET|POST,false,false,true,false,false,false,false,false,/api/v1/operation-logs,pending
/api/performance/metrics,GET|DELETE,true,false,false,false,false,false,false,false,/api/v1/performance/metrics,pending
/api/power,GET|POST,false,false,true,false,false,false,false,false,/api/v1/power,pending
/api/product-refine,GET|POST,false,false,false,false,false,false,false,false,/api/v1/product-refine,pending
/api/prompt-optimize,GET|POST,true,false,true,false,false,false,false,false,/api/v1/prompt-optimize,pending
/api/proxy-image,POST,true,false,false,false,false,false,false,false,/api/v1/proxy-image,pending
/api/proxy-model,GET,true,false,false,false,false,false,false,false,/api/v1/proxy-model,pending
/api/relief,GET|POST,false,false,false,false,false,false,false,false,/api/v1/relief,pending
/api/relief-download,GET|POST,true,false,false,false,false,false,false,false,/api/v1/relief-download,pending
/api/remove-background,GET|POST,false,false,false,false,false,false,false,false,/api/v1/remove-background,pending
/api/remove-watermark,GET|POST,false,false,false,false,false,false,false,false,/api/v1/remove-watermark,pending
/api/settings/cloud,GET|POST,true,false,true,false,false,false,false,false,/api/v1/settings/cloud,pending
/api/settings/comfyui,GET|POST|DELETE,true,false,true,false,false,false,false,false,/api/v1/settings/comfyui,pending
/api/settings/llm,GET|POST|PUT,true,false,true,false,false,false,false,false,/api/v1/settings/llm,pending
/api/sketch-realistic,GET|POST,false,false,false,false,false,false,false,false,/api/v1/sketch-realistic,pending
/api/stats,GET,false,false,true,false,false,false,false,false,/api/v1/stats,pending
/api/stereo,GET|POST,false,false,false,false,false,false,false,false,/api/v1/stereo,pending
/api/tasks/[id],GET,true,false,false,false,false,false,false,false,/api/v1/tasks/[id],pending
/api/test-comfyui,GET,false,false,false,false,false,false,false,false,/api/v1/test-comfyui,pending
/api/translate,POST,true,false,true,false,false,false,false,false,/api/v1/translate,pending
/api/tryon,GET|POST,false,false,false,false,false,false,false,false,/api/v1/tryon,pending
/api/upload,GET|POST,true,false,false,false,false,false,false,false,/api/v1/upload,pending
/api/upscale,GET|POST,false,false,false,false,false,false,false,false,/api/v1/upscale,pending
/api/user/avatar,POST,false,false,true,false,false,false,false,false,/api/v1/user/avatar,pending
/api/user/password,PUT,false,false,true,false,false,false,false,false,/api/v1/user/password,pending
/api/user/profile,GET|PUT,false,false,true,false,false,false,false,false,/api/v1/user/profile,pending
/api/user/settings,GET|PUT,false,false,false,false,false,false,false,false,/api/v1/user/settings,pending
/api/video,GET|POST,false,false,false,false,false,false,false,false,/api/v1/video,pending
/api/works/batch-delete,GET|POST,false,true,true,false,false,false,false,false,/api/v1/works/batch-delete,pending
/api/works,GET|POST,false,false,true,false,false,false,false,false,/api/v1/works,pending
/api/works/[id]/download,GET,false,false,true,false,false,false,false,false,/api/v1/works/[id]/download,pending
/api/works/[id],GET|DELETE,false,false,true,false,false,false,false,false,/api/v1/works/[id],pending
